,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
北京市,0.68,9042,9537,208813,27041.2,129.8,132.2,2544.3,123391,106.9,91.3,2195,1904,291,82.49,80.43,84.62,0.2,0.87
天津市,0.34,9789,10591,119826,11477.2,168.5,174.6,1199.1,79647,106.0,103.0,1443,1202,241,81.3,79.32,83.4,0.0,0.83
河北省,1.2,62411,73763,219536,28474.1,3082.5,3235.1,2290.0,38688,106.7,103.5,7375,3973,3402,77.75,75.2,80.52,1.4,0.54
山西省,0.68,87165,94596,139240,11946.4,724.3,766.8,1108.1,33972,104.1,102.9,3514,2012,1502,77.91,75.64,80.47,0.5,0.57
内蒙古自治区,0.52,36601,46071,68237,13789.3,1650.6,1677.0,1220.5,56560,107.0,103.2,2436,1544,892,77.56,74.98,80.45,0.51,0.63
辽宁省,0.86,24894,36796,169643,20392.5,1841.2,1945.8,1920.7,47069,100.5,98.3,4327,2980,1347,78.68,75.96,81.54,0.23,0.69
吉林省,0.52,14254,22638,43730,10427.0,1130.1,1171.1,704.9,40259,106.5,103.9,2567,1508,1059,78.41,75.62,81.4,1.52,0.59
黑龙江省,0.78,26644,37930,57116,11895.0,2751.2,2817.7,876.0,34025,104.4,104.2,3463,2116,1347,78.25,75.33,81.42,2.06,0.61
上海市,0.68,6412,6791,159464,29887.0,114.3,118.3,4218.5,121369,106.9,87.6,2467,2196,271,82.55,80.39,84.87,0.11,0.89
江苏省,1.3,38894,56236,587718,77350.9,4039.8,4286.1,8447.9,92658,107.8,101.6,8381,5777,2604,79.32,77.02,81.83,0.44,0.69
浙江省,1.72,62212,67211,430888,47254.0,1890.4,1925.5,5828.6,78384,107.5,102.3,6072,4112,1960,80.19,78.09,82.58,9.17,0.68
安徽省,0.86,57486,74581,166351,26307.7,2489.8,2603.8,2656.3,43686,108.8,102.7,6033,3175,2858,77.96,75.52,80.72,1.74,0.53
福建省,1.3,43405,47858,230843,29609.4,2145.1,2221.0,3043.4,74024,108.4,103.0,4016,2586,1430,78.49,75.81,81.55,1.41,0.64
江西省,0.78,48568,55064,104265,18388.6,1794.1,1851.9,1397.7,40950,109.0,104.1,4496,2427,2069,77.64,75.08,80.52,1.58,0.54
山东省,1.56,86617,106857,543508,58762.5,4830.3,5072.3,7842.4,59239,107.4,103.8,9973,5897,4076,79.18,76.46,82.11,0.61,0.59
河南省,1.46,46778,58830,206121,40249.3,4063.6,4217.4,2940.5,41326,108.2,104.3,9778,4770,5008,77.6,74.59,80.84,8.78,0.49
湖北省,1.56,64868,75829,207587,33353.0,3406.5,3527.9,2569.5,56844,108.1,103.9,5885,3447,2438,78.0,75.73,80.53,2.42,0.59
湖南省,1.56,33665,45660,126236,30853.5,2915.6,3063.1,3141.5,46606,108.0,103.3,6625,3491,3134,77.88,75.36,80.75,1.29,0.53
广东省,2.76,31784,41000,434221,82163.2,3500.5,3593.6,8924.7,69671,107.5,103.1,11908,8353,3555,79.31,76.75,82.22,2.15,0.7
广西壮族自治区,1.72,69902,76497,131838,16116.6,2800.3,2877.0,1351.0,33340,107.0,103.4,4857,2392,2465,78.06,74.64,81.98,1.42,0.49
海南省,0.34,10899,11876,18000,4090.2,924.7,951.6,442.8,43009,107.5,104.2,957,543,414,79.05,75.83,82.84,0.1,0.57
重庆市,0.86,93974,99522,148631,18023.0,1237.0,1258.4,1703.4,58327,110.7,104.7,3110,1970,1140,78.56,75.86,81.64,2.01,0.63
四川省,2.24,47437,53836,93544,33138.5,3900.6,3991.9,2760.3,40297,107.8,103.8,8251,4126,4126,77.79,75.01,80.93,4.88,0.5
贵州省,1.04,69148,71134,65613,11792.4,1861.8,1959.9,893.7,31589,110.5,106.0,3758,1712,2046,75.2,72.09,78.71,0.31,0.46
云南省,1.56,72197,78056,127986,16369.0,2225.5,2272.6,1732.5,35051,108.7,105.6,4677,2088,2589,74.02,70.98,77.55,1.12,0.45
西藏自治区,0.13,575,627,2488,1173.0,110.5,113.6,80.5,35015,110.1,104.5,340,107,233,72.19,70.27,74.75,0.0,0.31
陕西省,0.78,34114,38039,98536,19045.8,1696.1,1778.9,1473.2,49341,107.5,104.0,3874,2185,1689,77.8,75.59,80.24,0.74,0.56
甘肃省,0.52,33488,36639,40691,6907.9,800.8,834.5,516.6,27396,107.6,105.5,2520,1161,1359,75.64,73.64,77.85,0.19,0.46
青海省,0.18,12481,13096,11215,2258.2,221.2,224.7,141.2,38968,107.8,105.4,582,312,270,73.96,71.72,76.43,0.15,0.54
宁夏回族自治区,0.18,11695,13506,20956,2781.4,241.0,255.7,154.0,40339,107.4,104.5,695,408,287,76.58,74.89,78.4,0.1,0.59
新疆维吾尔自治区,0.68,15365,20806,58857,9630.8,1473.2,1554.0,588.3,40020,107.5,104.9,2428,1224,1204,75.65,73.66,77.89,0.99,0.5
