,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
北京市,0.72,7716,8129,273387,33106.0,120.6,122.6,2824.1,150962,106.7,98.0,2192,1909,283,82.49,80.43,84.62,0.1,0.87
天津市,0.36,11818,12265,79142,13362.9,175.3,181.0,1345.2,95689,103.4,100.1,1383,1161,222,81.3,79.32,83.4,0.01,0.84
河北省,1.28,105892,115722,358174,32494.6,3338.6,3522.3,2722.3,43808,106.5,103.0,7426,4257,3169,77.75,75.2,80.52,1.13,0.57
山西省,0.72,95058,102075,141041,15958.1,740.8,788.4,1328.3,45517,106.6,102.1,3502,2096,1406,77.91,75.64,80.47,0.61,0.6
内蒙古自治区,0.56,54834,62035,85930,16140.8,1750.7,1779.8,1370.2,66491,105.2,103.2,2422,1587,835,77.56,74.98,80.45,0.36,0.66
辽宁省,0.92,44025,52445,178057,23510.5,2020.6,2109.6,2046.9,54657,105.6,103.0,4291,3015,1276,78.68,75.96,81.54,0.28,0.7
吉林省,0.56,25156,31489,46950,11253.8,1160.7,1205.0,732.9,44925,104.4,102.0,2484,1512,972,78.41,75.62,81.4,1.15,0.61
黑龙江省,0.84,50265,54873,69493,12846.5,3001.2,3080.2,946.3,38199,104.5,103.7,3327,2111,1216,78.25,75.33,81.42,1.88,0.63
上海市,0.72,5315,5593,127314,36011.8,104.8,112.4,4884.8,145767,106.8,90.2,2475,2206,269,82.55,80.39,84.87,0.07,0.89
江苏省,1.4,47000,61561,613999,93207.6,4141.7,4431.4,10139.3,110508,106.7,101.8,8446,6013,2433,79.32,77.02,81.83,0.47,0.71
浙江省,1.84,48323,51007,465896,58002.8,1975.9,2019.3,6853.0,93230,107.1,101.8,6273,4392,1881,80.19,78.09,82.58,6.63,0.7
安徽省,0.92,93115,109576,242064,34010.9,2638.0,2776.0,3184.0,56063,108.0,103.1,6076,3381,2695,77.96,75.52,80.72,2.1,0.56
福建省,1.4,42810,47123,236338,38687.8,2379.0,2464.3,3891.9,94719,108.3,103.4,4104,2749,1355,78.49,75.81,81.55,1.58,0.67
江西省,0.84,63469,70224,119751,22716.5,1877.3,1947.9,1942.3,50347,108.7,103.4,4513,2588,1925,77.64,75.08,80.52,1.82,0.57
山东省,1.68,105433,129659,598403,66648.9,4950.5,5273.9,8747.1,66284,106.3,102.7,10077,6193,3884,79.18,76.46,82.11,0.43,0.61
河南省,1.56,125178,160573,408979,49935.9,4311.1,4501.2,3698.0,50714,107.6,103.4,9864,5153,4711,77.6,74.59,80.84,6.14,0.52
湖北省,1.68,55059,68990,257986,42022.0,3548.2,3734.3,3098.0,71097,107.8,102.9,5917,3609,2308,78.0,75.73,80.53,2.34,0.61
湖南省,1.68,58724,79198,154878,36329.7,3084.2,3266.5,3705.4,54763,107.8,103.5,6635,3722,2913,77.88,75.36,80.75,1.02,0.56
广东省,2.96,34804,41923,966082,99945.2,3836.4,3948.9,10476.0,81625,106.8,104.4,12348,8867,3481,79.31,76.75,82.22,2.43,0.72
广西壮族自治区,1.84,74408,81016,142714,19627.8,3021.1,3116.4,1607.6,39837,106.8,105.5,4947,2564,2383,78.06,74.64,81.98,1.61,0.52
海南省,0.36,12389,13262,22146,4910.7,986.0,1020.2,464.2,50263,105.8,103.8,982,581,401,79.05,75.83,82.84,0.11,0.59
重庆市,0.92,80653,84116,176115,21588.8,1378.7,1405.4,2024.6,68460,106.0,104.4,3163,2107,1056,78.56,75.86,81.64,2.2,0.67
四川省,2.4,87331,93383,187084,42902.1,4427.4,4544.3,3835.5,51658,108.0,103.6,8321,4452,3869,77.79,75.01,80.93,5.43,0.54
贵州省,1.12,106675,108163,91682,15353.2,2156.0,2273.0,1181.2,40271,109.1,106.8,3822,1893,1929,75.2,72.09,78.71,0.38,0.5
云南省,1.68,82789,87953,141696,20880.6,2498.7,2552.6,2187.3,44446,108.9,106.3,4703,2231,2472,74.02,70.98,77.55,1.2,0.47
西藏自治区,0.14,2533,2852,7292,1548.4,128.3,132.2,95.5,44051,108.9,102.7,354,120,234,72.19,70.27,74.75,0.0,0.34
陕西省,0.84,50504,56549,147183,23941.9,1830.2,1927.8,1734.5,61115,108.1,103.3,3931,2345,1586,77.8,75.59,80.24,0.57,0.6
甘肃省,0.56,68211,72439,58213,8104.1,926.1,962.3,587.6,32178,106.1,104.9,2515,1250,1265,75.64,73.64,77.85,0.39,0.5
青海省,0.2,18633,19127,17087,2748.0,268.1,272.0,150.9,46854,107.1,104.5,587,336,251,73.96,71.72,76.43,0.16,0.57
宁夏回族自治区,0.2,16098,16945,18271,3510.2,279.4,296.1,190.2,49614,106.8,104.0,710,441,269,76.58,74.89,78.4,0.11,0.62
新疆维吾尔自治区,0.72,20779,26326,65814,12809.4,1692.1,1791.0,742.6,51238,106.1,104.7,2520,1361,1159,75.65,73.66,77.89,1.96,0.54
