,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
北京市,0.8,7351,7815,341260,41610.9,111.5,113.1,3110.3,190313,100.7,98.4,2184,1913,271,82.49,80.43,84.62,0.09,0.88
天津市,0.4,10707,11470,119079,16311.3,273.1,283.4,1401.7,119235,101.0,102.9,1363,1160,203,81.3,79.32,83.4,0.01,0.85
河北省,1.44,115706,127507,517926,42370.4,4410.3,4697.4,3429.1,56995,103.8,104.2,7420,4575,2845,77.75,75.2,80.52,1.67,0.62
山西省,0.8,105387,114798,275470,25642.6,1340.4,1415.4,1666.7,73675,104.4,105.1,3481,2226,1255,77.91,75.64,80.47,0.78,0.64
内蒙古自治区,0.64,63144,72051,147316,23158.6,2653.7,2710.0,1585.3,96474,104.2,104.3,2401,1647,754,77.56,74.98,80.45,0.2,0.69
辽宁省,1.04,48977,59907,234520,28975.1,2597.6,2685.8,2229.1,68775,102.1,102.8,4197,3064,1133,78.68,75.96,81.54,0.15,0.73
吉林省,0.64,32824,42186,94609,13070.2,1689.1,1742.3,785.5,55347,98.1,104.0,2348,1496,852,78.41,75.62,81.4,1.05,0.64
黑龙江省,0.96,62309,69960,116509,15901.0,3609.8,3710.9,1294.3,51096,102.7,102.4,3099,2052,1047,78.25,75.33,81.42,1.61,0.66
上海市,0.8,6009,6361,189122,44652.8,97.0,104.9,5068.5,179907,99.8,96.5,2475,2211,264,82.55,80.39,84.87,0.08,0.89
江苏省,1.6,44551,55571,955561,122875.6,4959.4,5369.5,13350.7,144390,102.8,103.1,8515,6337,2178,79.32,77.02,81.83,0.61,0.74
浙江省,2.08,48829,53653,907259,77715.4,2324.8,2397.0,9404.2,118496,103.1,103.2,6577,4826,1751,80.19,78.09,82.58,5.15,0.73
安徽省,1.04,103129,124583,382064,45045.0,3513.7,3722.3,4240.8,73603,103.5,104.0,6127,3686,2441,77.96,75.52,80.72,1.85,0.6
福建省,1.6,65574,72500,594100,53109.9,3076.2,3191.9,6230.4,126829,104.7,103.7,4188,2937,1251,78.49,75.81,81.55,1.83,0.7
江西省,0.96,98597,109191,354064,32074.7,2451.5,2577.8,2844.5,70923,104.7,103.9,4528,2811,1717,77.64,75.08,80.52,1.71,0.62
山东省,1.92,150581,186582,1168922,87435.1,6298.6,6769.0,11819.1,86003,103.9,104.3,10163,6559,3604,79.18,76.46,82.11,0.83,0.65
河南省,1.76,180056,220588,645383,61345.1,5817.8,6169.8,4496.5,62106,103.1,104.8,9872,5633,4239,77.6,74.59,80.84,4.84,0.57
湖北省,1.92,99852,119182,423006,53734.9,4986.7,5321.9,3593.4,92059,104.3,103.8,5844,3779,2065,78.0,75.73,80.53,1.95,0.65
湖南省,1.92,113262,140324,311644,48670.4,4602.7,4873.4,4787.1,73598,104.5,103.6,6604,3983,2621,77.88,75.36,80.75,1.61,0.6
广东省,3.36,45057,53402,1201165,129118.6,5340.4,5531.6,12319.7,101905,101.9,105.2,12657,9465,3192,79.31,76.75,82.22,3.27,0.75
广西壮族自治区,2.08,86986,95980,250762,26300.9,4269.8,4404.2,2156.3,52164,102.9,105.0,5047,2809,2238,78.06,74.64,81.98,2.82,0.56
海南省,0.4,12455,13914,53469,6818.2,1417.8,1471.4,958.8,66602,100.2,103.1,1027,631,396,79.05,75.83,82.84,0.12,0.61
重庆市,1.04,88054,94654,232551,29129.0,2012.1,2058.6,2816.7,90663,102.6,104.0,3213,2280,933,78.56,75.86,81.64,2.23,0.71
四川省,2.72,138252,148381,392191,56749.8,5964.3,6133.1,5132.1,67777,102.9,104.3,8374,4886,3488,77.79,75.01,80.93,6.49,0.58
贵州省,1.28,130141,134015,191704,20164.6,2861.2,3020.4,1582.2,52321,101.2,103.6,3856,2114,1742,75.2,72.09,78.71,0.36,0.55
云南省,1.92,107710,115316,224315,28954.2,4012.2,4090.1,2990.7,61716,104.3,104.9,4693,2427,2266,74.02,70.98,77.55,1.17,0.52
西藏自治区,0.16,3123,3615,8241,2132.6,180.2,185.0,101.6,58438,101.1,106.2,364,136,228,72.19,70.27,74.75,0.0,0.37
陕西省,0.96,66540,75521,250288,32772.7,2575.3,2710.6,2103.3,82864,104.3,104.3,3956,2532,1424,77.8,75.59,80.24,1.33,0.64
甘肃省,0.64,76857,82186,99167,11201.6,1515.3,1561.3,795.6,44968,104.5,105.7,2492,1351,1141,75.64,73.64,77.85,0.75,0.54
青海省,0.24,20901,21692,28594,3610.1,380.2,385.0,171.1,60724,102.3,104.5,595,366,229,73.96,71.72,76.43,0.01,0.62
宁夏回族自治区,0.24,20199,21978,44572,5069.6,407.5,428.5,218.8,69781,104.0,104.7,728,483,245,76.58,74.89,78.4,0.07,0.66
新疆维吾尔自治区,0.8,30928,40475,126700,17741.3,2509.3,2654.6,784.4,68552,103.2,105.3,2587,1498,1089,75.65,73.66,77.89,1.55,0.58
