,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
北京市,0.78,7036,7495,322189,41045.6,111.4,113.4,3126.7,187526,108.8,102.8,2189,1916,273,82.49,80.43,84.62,0.1,0.88
天津市,0.39,10390,10986,105119,15685.1,265.9,275.9,1424.6,113660,106.6,102.2,1373,1165,208,81.3,79.32,83.4,0.01,0.85
河北省,1.4,95296,105390,441451,40397.1,4030.4,4286.2,3218.3,54181,106.5,106.4,7448,4554,2894,77.75,75.2,80.52,1.22,0.61
山西省,0.78,101813,110032,264606,22870.4,1286.9,1356.9,1608.9,65625,109.3,108.1,3480,2207,1273,77.91,75.64,80.47,0.84,0.63
内蒙古自治区,0.62,64053,72915,130357,21166.0,2353.9,2387.5,1538.1,88137,106.7,105.0,2400,1637,763,77.56,74.98,80.45,0.21,0.68
辽宁省,1.01,48248,57851,220268,27569.5,2461.9,2546.9,2192.0,64992,105.8,105.3,4229,3079,1150,78.68,75.96,81.54,0.18,0.73
吉林省,0.62,28796,37976,81420,13163.8,1553.8,1604.2,820.5,55148,106.5,106.4,2375,1505,870,78.41,75.62,81.4,1.13,0.63
黑龙江省,0.93,53091,58793,85791,14858.2,3463.4,3556.9,1228.4,47199,106.1,106.6,3125,2053,1072,78.25,75.33,81.42,1.46,0.66
上海市,0.78,5128,5399,165464,43653.2,96.1,105.7,5508.3,175420,108.3,91.6,2489,2223,266,82.55,80.39,84.87,0.07,0.89
江苏省,1.55,44477,56489,904625,117392.4,4721.0,5073.7,13101.2,138255,108.9,103.1,8505,6289,2216,79.32,77.02,81.83,0.53,0.74
浙江省,2.02,48320,52655,832468,74040.8,2211.7,2277.0,8749.5,113839,108.7,102.3,6540,4752,1788,80.19,78.09,82.58,5.02,0.73
安徽省,1.01,98829,118485,346360,42565.2,3363.9,3548.7,4067.8,69676,108.2,107.4,6113,3631,2482,77.96,75.52,80.72,1.9,0.59
福建省,1.55,60339,66846,529008,49566.1,2899.9,3007.2,5634.2,118750,108.3,105.0,4187,2918,1269,78.49,75.81,81.55,1.79,0.7
江西省,0.93,81454,89753,242250,29827.8,2334.1,2438.0,2588.2,66020,108.9,105.1,4517,2776,1741,77.64,75.08,80.52,1.55,0.61
山东省,1.86,141976,176234,1063047,82875.2,6029.0,6449.5,11537.1,81510,108.3,107.5,10170,6503,3667,79.18,76.46,82.11,0.83,0.64
河南省,1.71,159565,196302,610860,58071.4,5626.9,5915.4,4483.6,58587,106.0,106.4,9883,5579,4304,77.6,74.59,80.84,6.52,0.56
湖北省,1.86,78645,95363,359049,50091.2,4635.2,4923.4,3438.8,86551,112.9,110.8,5830,3736,2094,78.0,75.73,80.53,1.96,0.64
湖南省,1.86,67656,88916,215189,45713.5,4323.0,4561.5,4574.0,68913,107.6,109.3,6622,3954,2668,77.88,75.36,80.75,1.52,0.6
广东省,3.26,41389,49051,1135372,124719.5,4984.7,5151.3,12102.1,98561,108.1,107.8,12684,9466,3218,79.31,76.75,82.22,4.04,0.75
广西壮族自治区,2.02,83339,92537,225206,25209.1,4051.3,4174.0,2079.1,50137,107.9,108.7,5037,2774,2263,78.06,74.64,81.98,2.64,0.55
海南省,0.39,12041,13333,45597,6504.1,1254.4,1300.7,956.2,63991,111.3,103.9,1020,622,398,79.05,75.83,82.84,0.11,0.61
重庆市,1.01,84170,89461,215801,28077.3,1921.9,1963.3,2695.7,87450,108.4,107.8,3212,2259,953,78.56,75.86,81.64,2.21,0.7
四川省,2.64,95172,101202,227826,54088.0,5662.0,5818.1,4924.8,64610,108.2,107.0,8372,4841,3531,77.79,75.01,80.93,6.27,0.58
贵州省,1.24,114693,117625,151240,19458.6,2730.9,2877.7,1562.5,50476,108.1,107.7,3852,2093,1759,75.2,72.09,78.71,0.39,0.54
云南省,1.86,95201,101889,214255,27161.6,3831.3,3902.5,2831.9,57717,107.3,107.9,4690,2394,2296,74.02,70.98,77.55,1.29,0.51
西藏自治区,0.16,3055,3520,7944,2080.2,164.1,168.5,112.7,56831,106.7,107.3,366,134,232,72.19,70.27,74.75,0.0,0.37
陕西省,0.93,57482,64542,187663,30121.7,2409.9,2532.5,2040.0,76171,106.6,106.3,3954,2516,1438,77.8,75.59,80.24,1.17,0.64
甘肃省,0.62,66768,71227,75357,10225.5,1364.8,1406.8,763.7,40976,106.9,110.1,2490,1328,1162,75.64,73.64,77.85,0.61,0.53
青海省,0.23,19656,20292,24627,3385.1,353.6,358.2,194.0,57036,105.8,104.6,594,362,232,73.96,71.72,76.43,0.02,0.61
宁夏回族自治区,0.23,20902,22546,43244,4588.2,364.6,383.7,210.7,63461,106.8,104.7,725,479,246,76.58,74.89,78.4,0.06,0.66
新疆维吾尔自治区,0.78,26256,34096,101851,16311.6,2359.1,2488.4,796.5,62991,107.2,108.0,2589,1482,1107,75.65,73.66,77.89,1.61,0.57
