Demand,Principal Component 1,Principal Component 2
0.2,-0.5852255482129043,1.3131625540234784
0.074194,-0.8189309290910964,0.9248092329302385
0.4,0.4994082869321176,-0.19054761332290185
0.2,-0.24645012871416147,-0.12857152501417246
0.148387,-0.38740793297595066,0.0846806569609579
0.274194,-0.22011441446516394,0.23412381330624563
0.148387,-0.5870520092654956,0.10063537069656085
0.248387,-0.2232303890937525,-0.04681176142985407
0.2,-0.562690512239771,1.5017128150447534
0.448387,1.0407007400455246,0.7351627529172471
0.6,0.5184284142338161,0.7178829635300126
0.274194,0.3766389457891663,-0.17336562695496494
0.448387,0.14022005091106848,0.35922809875832823
0.248387,-0.05043434335286894,-0.11076238515582466
0.548387,1.5909099706423244,0.01887787124747384
0.5,1.383737544356456,-0.4981618130579762
0.548387,0.46546405123694923,-0.2385695149178593
0.548387,0.41640063343431344,-0.16985754957182447
1.0,1.4855373085911716,0.5640719504254378
0.6,0.22858051756195152,-0.3112939543135222
0.074194,-0.7963254137844684,0.1820018315748241
0.274194,-0.17377143330830594,0.10706113903541058
0.8,0.9390809056353712,-0.3425762497901148
0.348387,-0.11851255471202975,-0.5975849993007897
0.548387,0.09112804514844025,-0.687912840176887
0.0,-1.2350081222398053,-0.5696813057869285
0.248387,-0.19790449545557715,0.0418156283697403
0.148387,-0.5835524535103128,-0.43728881263772784
0.022581,-1.1003501304169294,-0.22251811081156264
0.022581,-1.0093085158688015,0.06528724266213072
0.2,-0.512357094657148,-0.26435631921997654
0.202658,-0.5839518635319132,1.4727339048900714
0.076412,-0.8076067615157505,0.879468425719005
0.401993,0.6288868710509679,-0.3572982633611677
0.202658,-0.22976138197901222,-0.23528457653964605
0.149502,-0.38701920127244155,0.02152544165284473
0.275748,-0.16519701076855067,0.13100854755678115
0.149502,-0.5547726754848025,0.0667170579863864
0.249169,-0.15203495381889484,-0.12481593539690673
0.202658,-0.5455454326281941,1.4712238935649462
0.448505,1.054675409403514,0.6323184049973847
0.601329,0.5406912194669484,0.6292641702707165
0.275748,0.4251765016460331,-0.2216588768479494
0.448505,0.12811635442750716,0.2760165523673993
0.249169,0.0021179851813465903,-0.18575038194228796
0.548173,1.554648417386796,-0.025435015780138893
0.501661,1.420340424092203,-0.5525313067063415
0.548173,0.4046631670836504,0.05543792919026687
0.548173,0.4911223912886682,-0.2259255705004742
1.0,1.4956139858483497,0.5475290229108299
0.601329,0.25120331009322155,-0.3932456706492514
0.076412,-0.8062901824279601,0.18454704052358636
0.275748,-0.142886601039469,0.04075090760224487
0.800664,1.0338505544074115,-0.4600159323387976
0.348837,-0.07475604734300667,-0.7158391458710692
0.548173,0.16543390919705292,-0.8227155901316355
0.0,-1.213450501410915,-0.759375546035255
0.249169,-0.17229172717096214,-0.04479423248003846
